종목코드,종목명,시장코드,테마
1040,CJ,KOSPI,기타
1045,CJ우,KOSPI,기타
1060,JW중외제약,KOSPI,제약
1065,JW중외제약우,KOSPI,제약
1067,JW중외제약2우B,KOSPI,제약
1070,대한방직,KOSPI,기타
1080,만호제강,KOSPI,기타
1120,LX인터내셔널,KOSPI,기타
1130,대한제분,KOSPI,기타
1200,유진투자증권,KOSPI,금융
1210,금호전기,KOSPI,기타
1230,동국홀딩스,KOSPI,금융
1250,GS글로벌,KOSPI,기타
1260,남광토건,KOSPI,건설
1270,부국증권,KOSPI,금융
1275,부국증권우,KOSPI,금융
1290,상상인증권,KOSPI,금융
1340,PKC,KOSPI,기타
1360,삼성제약,KOSPI,제약
1380,SG글로벌,KOSPI,기타
1390,KG케미칼,KOSPI,화학
1420,태원물산,KOSPI,기타
1430,세아베스틸지주,KOSPI,금융
1440,대한전선,KOSPI,기타
1450,현대해상,KOSPI,기타
1460,BYC,KOSPI,기타
1465,BYC우,KOSPI,기타
1470,삼부토건,KOSPI,건설
1500,현대차증권,KOSPI,금융
1510,SK증권,KOSPI,금융
1515,SK증권우,KOSPI,금융
1520,동양,KOSPI,기타
1525,동양우,KOSPI,기타
1527,동양2우B,KOSPI,기타
1530,DI동일,KOSPI,기타
1550,조비,KOSPI,기타
1560,제일연마,KOSPI,기타
1570,금양,KOSPI,기타
1620,케이비아이동국실업,KOSPI,기타
1630,종근당홀딩스,KOSPI,금융
1680,대상,KOSPI,기타
1685,대상우,KOSPI,기타
1720,신영증권,KOSPI,금융
1740,SK네트웍스,KOSPI,기타
1750,한양증권,KOSPI,금융
1755,한양증권우,KOSPI,금융
1770,SHD,KOSPI,기타
1780,알루코,KOSPI,기타
1790,대한제당,KOSPI,음식료
1795,대한제당우,KOSPI,음식료
1800,오리온홀딩스,KOSPI,금융
1820,삼화콘덴서,KOSPI,기타
1940,KISCO홀딩스,KOSPI,금융
2020,코오롱,KOSPI,기타
2025,코오롱우,KOSPI,기타
2030,아세아,KOSPI,기타
2070,비비안,KOSPI,기타
2100,경농,KOSPI,기타
2140,고려산업,KOSPI,기타
2150,도화엔지니어링,KOSPI,기타
2170,SYTS,KOSPI,기타
2200,한국수출포장,KOSPI,기타
2210,동성제약,KOSPI,제약
2220,한일철강,KOSPI,기타
2240,고려제강,KOSPI,기타
2310,아세아제지,KOSPI,기타
2320,한진,KOSPI,기타
2350,넥센타이어,KOSPI,자동차
2355,넥센타이어1우B,KOSPI,자동차
2360,SH에너지화학,KOSPI,화학/에너지
2380,KCC,KOSPI,기타
2390,한독,KOSPI,기타
2410,범양건영,KOSPI,기타
2420,세기상사,KOSPI,유통
2450,삼익악기,KOSPI,기타
2460,HS화성,KOSPI,기타
2600,조흥,KOSPI,기타
2620,제일파마홀딩스,KOSPI,금융
2630,오리엔트바이오,KOSPI,바이오
2690,동일제강,KOSPI,기타
2700,신일전자,KOSPI,IT
2710,TCC스틸,KOSPI,기타
2720,국제약품,KOSPI,제약
2760,보락,KOSPI,기타
2780,진흥기업,KOSPI,기타
2785,진흥기업우B,KOSPI,기타
2787,진흥기업2우B,KOSPI,기타
2790,아모레퍼시픽홀딩스,KOSPI,금융
2795,아모레퍼시픽홀딩스우,KOSPI,금융
2810,삼영무역,KOSPI,유통
2820,SUN&L,KOSPI,기타
2840,미원상사,KOSPI,유통
2870,신풍,KOSPI,기타
2880,디와이에이,KOSPI,기타
2900,TYM,KOSPI,기타
2920,유성기업,KOSPI,기타
2960,한국쉘석유,KOSPI,기타
2990,금호건설,KOSPI,건설
2995,금호건설우,KOSPI,건설
3000,부광약품,KOSPI,제약
3010,혜인,KOSPI,기타
3030,세아제강지주,KOSPI,금융
3060,에이프로젠바이오로직스,KOSPI,바이오
3070,코오롱글로벌,KOSPI,기타
3075,코오롱글로벌우,KOSPI,기타
3080,SB성보,KOSPI,기타
3090,대웅,KOSPI,기타
3120,일성아이에스,KOSPI,기타
3160,디아이,KOSPI,기타
3200,일신방직,KOSPI,기타
3220,대원제약,KOSPI,제약
3230,삼양식품,KOSPI,음식료
3240,태광산업,KOSPI,기타
3280,흥아해운,KOSPI,해운
3300,한일홀딩스,KOSPI,금융
3350,한국화장품제조,KOSPI,기타
3460,유화증권,KOSPI,금융
3465,유화증권우,KOSPI,금융
3470,유안타증권,KOSPI,금융
3475,유안타증권우,KOSPI,금융
3480,한진중공업홀딩스,KOSPI,조선/금융
3490,대한항공,KOSPI,우주항공
3495,대한항공우,KOSPI,우주항공
3520,영진약품,KOSPI,제약
3530,한화투자증권,KOSPI,금융
3535,한화투자증권우,KOSPI,금융
3540,대신증권,KOSPI,금융
3545,대신증권우,KOSPI,금융
3547,대신증권2우B,KOSPI,금융
3550,LG,KOSPI,기타
3555,LG우,KOSPI,기타
3570,SNT다이내믹스,KOSPI,기타
3580,HLB글로벌,KOSPI,기타
3610,방림,KOSPI,기타
3620,KG모빌리티,KOSPI,자동차
3650,미창석유,KOSPI,기타
3670,포스코퓨처엠,KOSPI,기타
3680,한성기업,KOSPI,기타
3690,코리안리,KOSPI,기타
3720,삼영,KOSPI,기타
3780,진양산업,KOSPI,기타
3830,대한화섬,KOSPI,기타
3850,보령,KOSPI,기타
3920,남양유업,KOSPI,기타
3925,남양유업우,KOSPI,기타
3960,사조대림,KOSPI,기타
4000,롯데정밀화학,KOSPI,화학
4020,현대제철,KOSPI,기타
4060,SG세계물산,KOSPI,기타
4080,신흥,KOSPI,기타
4090,한국석유,KOSPI,기타
4100,태양금속,KOSPI,기타
4105,태양금속우,KOSPI,기타
4140,동방,KOSPI,기타
4150,한솔홀딩스,KOSPI,금융
4170,신세계,KOSPI,기타
4250,NPC,KOSPI,기타
4255,NPC우,KOSPI,기타
4270,남성,KOSPI,기타
4310,현대약품,KOSPI,제약
4360,세방,KOSPI,기타
4365,세방우,KOSPI,기타
4370,농심,KOSPI,기타
4380,삼익THK,KOSPI,ETF
4410,서울식품,KOSPI,음식료
4415,서울식품우,KOSPI,음식료
4430,송원산업,KOSPI,기타
4440,삼일씨엔에스,KOSPI,기타
4450,삼화왕관,KOSPI,기타
4490,세방전지,KOSPI,기타
4540,깨끗한나라,KOSPI,기타
4545,깨끗한나라우,KOSPI,기타
4560,현대비앤지스틸,KOSPI,기타
4690,삼천리,KOSPI,기타
4700,조광피혁,KOSPI,기타
4710,한솔테크닉스,KOSPI,IT
4720,팜젠사이언스,KOSPI,제약
4770,써니전자,KOSPI,IT
4800,효성,KOSPI,기타
4830,덕성,KOSPI,기타
4835,덕성우,KOSPI,기타
4840,DRB동일,KOSPI,기타
4870,티웨이홀딩스,KOSPI,금융
4890,동일산업,KOSPI,기타
4910,조광페인트,KOSPI,기타
4920,씨아이테크,KOSPI,IT
4960,한신공영,KOSPI,기타
4970,신라교역,KOSPI,기타
4980,성신양회,KOSPI,기타
4985,성신양회우,KOSPI,기타
4990,롯데지주,KOSPI,금융
5010,휴스틸,KOSPI,기타
5030,부산주공,KOSPI,기타
5070,코스모신소재,KOSPI,기타
5090,SGC에너지,KOSPI,에너지
5110,한창,KOSPI,기타
5180,빙그레,KOSPI,기타
5250,녹십자홀딩스,KOSPI,금융
5257,녹십자홀딩스2우,KOSPI,금융
5300,롯데칠성,KOSPI,기타
5305,롯데칠성우,KOSPI,기타
5320,온타이드,KOSPI,기타
5360,모나미,KOSPI,기타
5380,현대차,KOSPI,기타
5385,현대차우,KOSPI,기타
5387,현대차2우B,KOSPI,기타
5389,현대차3우B,KOSPI,기타
5420,코스모화학,KOSPI,화학
5430,한국공항,KOSPI,기타
5440,현대지에프홀딩스,KOSPI,금융
5490,POSCO홀딩스,KOSPI,금융
5500,삼진제약,KOSPI,제약
5610,삼립,KOSPI,기타
5680,삼영전자,KOSPI,IT
5690,파미셀,KOSPI,기타
5720,넥센,KOSPI,기타
5725,넥센우,KOSPI,기타
5740,크라운해태홀딩스,KOSPI,금융
5745,크라운해태홀딩스우,KOSPI,금융
5750,대림바스,KOSPI,기타
5800,신영와코루,KOSPI,기타
5810,풍산홀딩스,KOSPI,금융
5820,원림,KOSPI,기타
5830,DB손해보험,KOSPI,금융
5850,에스엘,KOSPI,기타
5870,휴니드,KOSPI,기타
5880,대한해운,KOSPI,해운
5930,삼성전자,KOSPI,IT
5935,삼성전자우,KOSPI,IT
5940,NH투자증권,KOSPI,금융
5945,NH투자증권우,KOSPI,금융
5950,이수화학,KOSPI,화학
5960,동부건설,KOSPI,건설
5965,동부건설우,KOSPI,건설
6040,동원산업,KOSPI,기타
6060,화승인더,KOSPI,기타
6090,사조오양,KOSPI,기타
6110,삼아알미늄,KOSPI,기타
6120,SK디스커버리,KOSPI,기타
6125,SK디스커버리우,KOSPI,기타
6200,한국전자홀딩스,KOSPI,IT/금융
6220,제주은행,KOSPI,금융
6260,LS,KOSPI,기타
6280,녹십자,KOSPI,기타
6340,대원전선,KOSPI,기타
6345,대원전선우,KOSPI,기타
6360,GS건설,KOSPI,건설
6370,대구백화점,KOSPI,유통
6380,카프로,KOSPI,기타
6400,삼성SDI,KOSPI,2차전지
6405,삼성SDI우,KOSPI,2차전지
6490,인스코비,KOSPI,기타
6570,대림통상,KOSPI,기타
6650,대한유화,KOSPI,기타
6660,삼성공조,KOSPI,기타
6740,블루산업개발,KOSPI,건설
6800,미래에셋증권,KOSPI,금융
6805,미래에셋증권우,KOSPI,금융
6840,AK홀딩스,KOSPI,금융
6880,신송홀딩스,KOSPI,금융
6890,태경케미컬,KOSPI,기타
6980,우성,KOSPI,기타
7070,GS리테일,KOSPI,유통
7110,일신석재,KOSPI,기타
7120,미래아이앤지,KOSPI,기타
7160,사조산업,KOSPI,기타
7210,벽산,KOSPI,기타
7280,한국특강,KOSPI,기타
7310,오뚜기,KOSPI,기타
7340,DN오토모티브,KOSPI,자동차
7460,에이프로젠,KOSPI,기타
7540,샘표,KOSPI,기타
7570,일양약품,KOSPI,제약
7575,일양약품우,KOSPI,제약
7590,동방아그로,KOSPI,기타
7610,선도전기,KOSPI,기타
7660,이수페타시스,KOSPI,기타
7690,국도화학,KOSPI,화학
7700,F&F홀딩스,KOSPI,금융
7810,코리아써키트,KOSPI,기타
7815,코리아써우,KOSPI,기타
7860,서연,KOSPI,기타
7980,TP,KOSPI,기타
8040,사조동아원,KOSPI,기타
8060,대덕,KOSPI,기타
8250,이건산업,KOSPI,기타
8260,NI스틸,KOSPI,기타
8350,남선알미늄,KOSPI,기타
8355,남선알미우,KOSPI,기타
8420,문배철강,KOSPI,기타
8490,서흥,KOSPI,기타
8500,일정실업,KOSPI,기타
8600,윌비스,KOSPI,기타
8700,아남전자,KOSPI,IT
8730,율촌화학,KOSPI,화학
8770,호텔신라,KOSPI,기타
8775,호텔신라우,KOSPI,기타
8870,금비,KOSPI,기타
8930,한미사이언스,KOSPI,기타
8970,KBI동양철관,KOSPI,기타
9070,KCTC,KOSPI,기타
9140,경인전자,KOSPI,IT
9150,삼성전기,KOSPI,기타
9155,삼성전기우,KOSPI,기타
9160,SIMPAC,KOSPI,기타
9180,한솔로지스틱스,KOSPI,기타
9190,대양금속,KOSPI,기타
9200,무림페이퍼,KOSPI,기타
9240,한샘,KOSPI,기타
9270,신원,KOSPI,기타
9290,광동제약,KOSPI,제약
9310,참엔지니어링,KOSPI,기타
9320,아진전자부품,KOSPI,IT
9410,태영건설,KOSPI,건설
9415,태영건설우,KOSPI,건설
9420,한올바이오파마,KOSPI,바이오
9440,KC그린홀딩스,KOSPI,에너지/금융
9450,경동나비엔,KOSPI,기타
9460,한창제지,KOSPI,기타
9470,삼화전기,KOSPI,기타
9540,HD한국조선해양,KOSPI,조선
9580,무림P&P,KOSPI,기타
9680,모토닉,KOSPI,기타
9770,삼정펄프,KOSPI,기타
9810,플레이그램,KOSPI,기타
9830,한화솔루션,KOSPI,기타
9835,한화솔루션우,KOSPI,기타
9900,명신산업,KOSPI,기타
9970,영원무역홀딩스,KOSPI,금융/유통
10040,한국내화,KOSPI,기타
10060,OCI홀딩스,KOSPI,금융
10100,한국무브넥스,KOSPI,기타
10120,LS ELECTRIC,KOSPI,기타
10130,고려아연,KOSPI,기타
10140,삼성중공업,KOSPI,조선
10400,우진아이엔에스,KOSPI,기타
10580,에스엠벡셀,KOSPI,기타
10640,진양폴리,KOSPI,기타
10660,화천기계,KOSPI,기타
10690,화신,KOSPI,기타
10770,평화홀딩스,KOSPI,금융
10780,아이에스동서,KOSPI,기타
10820,퍼스텍,KOSPI,기타
10950,S-Oil,KOSPI,기타
10955,S-Oil우,KOSPI,기타
10960,삼호개발,KOSPI,건설
11000,진원생명과학,KOSPI,바이오
11070,LG이노텍,KOSPI,기타
11090,에넥스,KOSPI,기타
11150,CJ씨푸드,KOSPI,음식료
11155,CJ씨푸드1우,KOSPI,음식료
11170,롯데케미칼,KOSPI,화학
11200,HMM,KOSPI,기타
11210,현대위아,KOSPI,기타
11230,삼화전자,KOSPI,IT
11280,태림포장,KOSPI,기타
11300,우성머티리얼스,KOSPI,기타
11330,유니켐,KOSPI,기타
11390,부산산업,KOSPI,기타
11420,갤럭시아에스엠,KOSPI,기타
11500,한농화성,KOSPI,기타
11690,와이투솔루션,KOSPI,기타
11700,한신기계,KOSPI,기타
11760,현대코퍼레이션,KOSPI,기타
11780,금호석유화학,KOSPI,화학
11785,금호석유화학우,KOSPI,화학
11790,SKC,KOSPI,기타
11810,STX,KOSPI,기타
11930,신성이엔지,KOSPI,기타
12030,DB,KOSPI,기타
12160,영흥,KOSPI,기타
12170,아센디오,KOSPI,기타
12200,계양전기,KOSPI,기타
12205,계양전기우,KOSPI,기타
12280,영화금속,KOSPI,기타
12320,경동인베스트,KOSPI,기타
12330,현대모비스,KOSPI,기타
12450,한화에어로스페이스,KOSPI,우주항공
12510,더존비즈온,KOSPI,기타
12610,경인양행,KOSPI,기타
12630,HDC,KOSPI,기타
12690,모나리자,KOSPI,기타
12750,에스원,KOSPI,기타
12800,대창,KOSPI,기타
13000,세우글로벌,KOSPI,기타
13360,일성건설,KOSPI,건설
13520,화승코퍼레이션,KOSPI,기타
13570,디와이,KOSPI,기타
13580,계룡건설,KOSPI,건설
13700,까뮤이앤씨,KOSPI,기타
13870,지엠비코리아,KOSPI,기타
13890,지누스,KOSPI,기타
14130,한익스프레스,KOSPI,기타
14160,대영포장,KOSPI,기타
14280,금강공업,KOSPI,기타
14285,금강공업우,KOSPI,기타
14440,영보화학,KOSPI,화학
14530,극동유화,KOSPI,기타
14580,태경비케이,KOSPI,기타
14680,한솔케미칼,KOSPI,화학
14710,사조씨푸드,KOSPI,음식료
14790,HL D&I,KOSPI,기타
14820,동원시스템즈,KOSPI,기타
14825,동원시스템즈우,KOSPI,기타
14830,유니드,KOSPI,기타
14910,성문전자,KOSPI,IT
14915,성문전자우,KOSPI,IT
14990,인디에프,KOSPI,기타
15020,이스타코,KOSPI,기타
15230,대창단조,KOSPI,기타
15260,에이엔피,KOSPI,기타
15360,INVENI,KOSPI,기타
15590,DKME,KOSPI,기타
15760,한국전력,KOSPI,에너지
15860,일진홀딩스,KOSPI,금융
15890,태경산업,KOSPI,기타
16090,대현,KOSPI,기타
16360,삼성증권,KOSPI,금융
16380,KG스틸,KOSPI,기타
16450,한세예스24홀딩스,KOSPI,금융
16580,환인제약,KOSPI,제약
16590,신대양제지,KOSPI,기타
16610,DB증권,KOSPI,금융
16710,대성홀딩스,KOSPI,금융
16740,두올,KOSPI,기타
16800,퍼시스,KOSPI,기타
16880,웅진,KOSPI,기타
17040,광명전기,KOSPI,기타
17180,명문제약,KOSPI,제약
17370,우신시스템,KOSPI,기타
17390,서울가스,KOSPI,기타
17550,수산세보틱스,KOSPI,음식료
17670,SK텔레콤,KOSPI,기타
17800,현대엘리베이터,KOSPI,기타
17810,풀무원,KOSPI,기타
17860,DS단석,KOSPI,기타
17900,광전자,KOSPI,IT
17940,E1,KOSPI,기타
17960,한국카본,KOSPI,기타
18250,애경산업,KOSPI,기타
18260,삼성에스디에스,KOSPI,기타
18470,조일알미늄,KOSPI,기타
18500,동원금속,KOSPI,기타
18670,SK가스,KOSPI,기타
18880,한온시스템,KOSPI,기타
19170,신풍제약,KOSPI,제약
19175,신풍제약우,KOSPI,제약
19180,티에이치엔,KOSPI,기타
19490,엑시큐어하이트론,KOSPI,기타
19680,대교,KOSPI,기타
19685,대교우B,KOSPI,기타
20000,한섬,KOSPI,기타
20120,키다리스튜디오,KOSPI,미디어
20150,롯데에너지머티리얼즈,KOSPI,에너지
20560,아시아나항공,KOSPI,우주항공
20760,일진디스플,KOSPI,기타
21050,서원,KOSPI,기타
21240,코웨이,KOSPI,기타
21820,세원정공,KOSPI,기타
22100,포스코DX,KOSPI,기타
23000,삼원강재,KOSPI,기타
23150,MH에탄올,KOSPI,기타
23350,한국종합기술,KOSPI,기타
23450,동남합성,KOSPI,기타
23530,롯데쇼핑,KOSPI,유통
23590,다우기술,KOSPI,기타
23800,인지컨트롤스,KOSPI,기타
23810,인팩,KOSPI,기타
23960,에쓰씨엔지니어링,KOSPI,기타
24070,WISCOM,KOSPI,기타
24090,디씨엠,KOSPI,기타
24110,기업은행,KOSPI,금융
24720,콜마홀딩스,KOSPI,금융
24890,대원화성,KOSPI,기타
24900,디와이덕양,KOSPI,기타
25000,KPX케미칼,KOSPI,화학
25530,SJM홀딩스,KOSPI,금융
25540,한국단자,KOSPI,기타
25560,미래산업,KOSPI,기타
25620,차AI헬스케어,KOSPI,바이오/AI
25750,한솔홈데코,KOSPI,기타
25820,이구산업,KOSPI,기타
25860,남해화학,KOSPI,화학
25890,한국주강,KOSPI,기타
26890,스틱인베스트먼트,KOSPI,금융
26940,부국철강,KOSPI,기타
26960,동서,KOSPI,기타
27410,BGF,KOSPI,기타
27740,마니커,KOSPI,기타
27970,한국제지,KOSPI,기타
28050,삼성E&A,KOSPI,기타
28100,동아지질,KOSPI,기타
28260,삼성물산,KOSPI,기타
28670,팬오션,KOSPI,기타
29460,케이씨,KOSPI,기타
29530,신도리코,KOSPI,기타
29780,삼성카드,KOSPI,금융
30000,제일기획,KOSPI,기타
30190,NICE평가정보,KOSPI,기타
30200,KT,KOSPI,기타
30210,다올투자증권,KOSPI,금융
30610,교보증권,KOSPI,금융
30720,동원수산,KOSPI,음식료
31210,서울보증보험,KOSPI,금융
31430,신세계인터내셔날,KOSPI,기타
31440,신세계푸드,KOSPI,음식료
31820,아이티센씨티에스,KOSPI,기타
32350,롯데관광개발,KOSPI,건설
32560,황금에스티,KOSPI,기타
32640,LG유플러스,KOSPI,기타
32830,삼성생명,KOSPI,바이오
33240,자화전자,KOSPI,IT
33250,체시스,KOSPI,기타
33270,유나이티드제약,KOSPI,제약
33530,SJG세종,KOSPI,기타
33780,KT&G,KOSPI,기타
33920,무학,KOSPI,기타
34020,두산에너빌리티,KOSPI,기타
34120,SBS,KOSPI,기타
34220,LG디스플레이,KOSPI,반도체
34230,파라다이스,KOSPI,기타
34310,NICE,KOSPI,기타
34590,인천도시가스,KOSPI,기타
34730,SK,KOSPI,기타
34830,한국토지신탁,KOSPI,기타
35000,HS애드,KOSPI,기타
35150,백산,KOSPI,기타
35250,강원랜드,KOSPI,기타
35420,NAVER,KOSPI,기타
35510,신세계 I&C,KOSPI,기타
35720,카카오,KOSPI,기타
36420,콘텐트리중앙,KOSPI,기타
36460,한국가스공사,KOSPI,기타
36530,SNT홀딩스,KOSPI,금융
36570,NC,KOSPI,기타
36580,팜스코,KOSPI,제약
37270,YG PLUS,KOSPI,ETF
37560,LG헬로비전,KOSPI,기타
37710,광주신세계,KOSPI,기타
39130,하나투어,KOSPI,기타
39490,키움증권,KOSPI,금융
39570,HDC랩스,KOSPI,기타
41650,상신브레이크,KOSPI,기타
42660,한화오션,KOSPI,기타
42700,한미반도체,KOSPI,반도체
44380,주연테크,KOSPI,IT
44450,KSS해운,KOSPI,해운
44820,코스맥스비티아이,KOSPI,기타
47040,대우건설,KOSPI,건설
47050,포스코인터내셔널,KOSPI,기타
47400,유니온머티리얼,KOSPI,기타
47810,한국항공우주,KOSPI,우주항공
49800,우진플라임,KOSPI,기타
51600,한전KPS,KOSPI,기타
51630,진양화학,KOSPI,화학
51900,LG생활건강,KOSPI,기타
51905,LG생활건강우,KOSPI,기타
51910,LG화학,KOSPI,화학
51915,LG화학우,KOSPI,화학
52690,한전기술,KOSPI,기타
53210,스카이라이프,KOSPI,기타
53690,한미글로벌,KOSPI,기타
55490,테이팩스,KOSPI,기타
55550,신한지주,KOSPI,금융
57050,현대홈쇼핑,KOSPI,유통
58430,포스코스틸리온,KOSPI,기타
58650,세아홀딩스,KOSPI,금융
58730,다스코,KOSPI,기타
58850,KTcs,KOSPI,기타
58860,KTis,KOSPI,기타
60980,HL홀딩스,KOSPI,금융
62040,산일전기,KOSPI,기타
63160,종근당바이오,KOSPI,바이오
64350,현대로템,KOSPI,기타
64400,LG씨엔에스,KOSPI,기타
64960,SNT모티브,KOSPI,기타
66570,LG전자,KOSPI,IT
66575,LG전자우,KOSPI,IT
66970,엘앤에프,KOSPI,기타
67830,세이브존I&C,KOSPI,기타
68270,셀트리온,KOSPI,기타
68290,삼성출판사,KOSPI,기타
69260,TKG휴켐스,KOSPI,기타
69460,대호에이엘,KOSPI,기타
69500,KODEX 200,KOSPI,ETF
69620,대웅제약,KOSPI,제약
69640,한세엠케이,KOSPI,기타
69660,KIWOOM 200,KOSPI,기타
69730,DSR제강,KOSPI,기타
69960,현대백화점,KOSPI,유통
70960,모나용평,KOSPI,기타
71050,한국금융지주,KOSPI,금융
71055,한국금융지주우,KOSPI,금융
71090,하이스틸,KOSPI,기타
71320,지역난방공사,KOSPI,기타
71840,롯데하이마트,KOSPI,유통
71950,코아스,KOSPI,기타
71970,HD현대마린엔진,KOSPI,기타
72130,유엔젤,KOSPI,기타
72710,농심홀딩스,KOSPI,금융
73240,금호타이어,KOSPI,자동차
74610,이엔플러스,KOSPI,기타
75180,새론오토모티브,KOSPI,자동차
75580,세진중공업,KOSPI,조선
77500,유니퀘스트,KOSPI,기타
77970,STX엔진,KOSPI,기타
78000,텔코웨어,KOSPI,기타
78520,에이블씨엔씨,KOSPI,기타
78930,GS,KOSPI,기타
78935,GS우,KOSPI,기타
79160,CJ CGV,KOSPI,기타
79430,현대리바트,KOSPI,기타
79550,LIG디펜스앤에어로스페이스,KOSPI,우주항공/방산
79900,전진건설로봇,KOSPI,건설/로봇
79980,휴비스,KOSPI,기타
81000,일진다이아,KOSPI,기타
81660,미스토홀딩스,KOSPI,금융
82640,동양생명,KOSPI,바이오
82740,한화엔진,KOSPI,기타
83420,그린케미칼,KOSPI,화학/에너지
84010,대한제강,KOSPI,기타
84670,동양고속,KOSPI,기타
84680,이월드,KOSPI,기타
84690,대상홀딩스,KOSPI,금융
84695,대상홀딩스우,KOSPI,금융
84870,TBH글로벌,KOSPI,기타
85310,엔케이,KOSPI,기타
85620,미래에셋생명,KOSPI,바이오
86280,현대글로비스,KOSPI,기타
86790,하나금융지주,KOSPI,금융
88260,이리츠코크렙,KOSPI,리츠
88350,한화생명,KOSPI,바이오
88790,진도,KOSPI,기타
88980,맥쿼리인프라,KOSPI,기타
89470,HDC현대EP,KOSPI,기타
